"image_no","image_name","cafe_no","board_no"
1,slow-1.jpg,1,
2,slow-2.jpg,1,
3,slow-3.jpg,1,
4,slow-4.jpg,1,
5,slow-5.jpg,1,
6,lucid-1.jpg,2,
7,lucid-2.jpg,2,
8,lucid-3.jpg,2,
9,lucid-4.jpg,2,
10,lucid-5.jpg,2,
11,delisert-1.jpg,3,
12,delisert-2.jpg,3,
13,delisert-3.jpg,3,
14,delisert-4.jpg,3,
15,delisert-5.jpg,3,
16,mansion-1.jpg,4,
17,mansion-2.jpg,4,
18,mansion-3.jpg,4,
19,mansion-4.jpg,4,
20,mansion-5.jpg,4,
21,nostalgia-1.jpg,5,
22,nostalgia-2.jpg,5,
23,nostalgia-3.jpg,5,
24,nostalgia-4.jpg,5,
25,nostalgia-5.jpg,5,
26,inthemass-1.jpg,6,
27,inthemass-2.jpg,6,
28,inthemass-3.jpg,6,
29,inthemass-4.jpg,6,
30,inthemass-5.jpg,6,
31,mama-1.jpg,7,
32,mama-2.jpg,7,
33,mama-3.jpg,7,
34,mama-4.jpg,7,
35,mama-5.jpg,7,
36,misul-1.jpg,8,
37,misul-2.jpg,8,
38,misul-3.jpg,8,
39,misul-4.jpg,8,
40,misul-5.jpg,8,
41,farm-1.jpg,9,
42,farm-2.jpg,9,
43,farm-3.jpg,9,
44,farm-4.jpg,9,
45,farm-5.jpg,9,
46,stove-1.jpg,10,
47,stove-2.jpg,10,
48,stove-3.jpg,10,
49,stove-4.jpg,10,
50,stove-5.jpg,10,
51,sungan-1.jpg,11,
52,sungan-2.jpg,11,
53,sungan-3.jpg,11,
54,coffee-1.jpg,12,
55,coffee-2.jpg,12,
56,coffee-3.jpg,12,
57,coffee-4.jpg,12,
58,coffee-5.jpg,12,
59,pocket-1.jpg,13,
60,thebridge-1.jpg,14,
61,wooz-1.jpg,15,
62,gobason-1.jpg,16,
63,chch-1.jpg,17,
64,lov-1.jpg,18,
65,chawoorim-1.jpg,19,
66,tumtree-1.jpg,20,
67,dwave-1.jpg,21,
68,stamp-1.jpg,22,
69,gam-1.jpg,23,
70,miru-1.jpg,24,
71,blind-1.jpg,25,
72,nok-1.jpg,26,
73,mery-1.jpg,27,
74,nodoubt-1.jpg,28,
75,gogae-1.jpg,29,
76,bebe-1.jpg,30,
77,coffeeu-1.jpg,31,
78,red-1.jpg,32,
79,add1446-1.jpg,33,
80,"23g-1.jpg",34,
81,today-1.jpg,35,
82,sept-1.jpg,36,
83,uoob-1.jpg,37,
84,thanks-1.jpg,38,
85,sigi-1.jpg,39,
86,como-1.jpg,40,
87,discovery-1.jpg,41,
88,allglad-1.jpg,42,
89,incomon-1.jpg,43,
90,raw-1.jpg,44,
91,sigong-1.jpg,45,
92,macarong-1.jpg,46,
93,baek-1.jpg,47,
94,trouve-1.jpg,48,
95,oaja-1.jpg,49,
96,plie-1.jpg,50,
97,todac-1.jpg,51,
98,yirang-1.jpg,52,
99,abiento-1.jpg,53,
100,bwoom-1.jpg,54,
101,camomile-1.jpg,55,
102,kooing-1.jpg,56,
103,panda-1.jpg,57,
104,show-1.jpg,58,
105,brown-1.jpg,59,
106,daily-1.jpg,60,
107,oasis-1.jpg,61,
108,prama-1.jpg,62,
109,popins-1.jpg,63,
110,kioki-1.jpg,64,
111,ofmore-1.jpg,65,
112,momo-1.jpg,66,
113,b1919-1.jpg,67,
114,jam-1.jpg,68,
115,chani-1.jpg,69,
116,mocco-1.jpg,70,
117,rooli-1.jpg,71,
118,dansk-1.jpg,72,
119,bo-1.jpg,73,
120,yiya-1.jpg,74,
121,yilin-1.jpg,75,
122,bas-1.jpg,76,
123,margo-1.jpg,77,
124,inmun-1.jpg,78,
125,anook-1.jpg,79,
126,inspiration-1.jpg,80,
127,vill-1.jpg,81,
128,oxley-1.jpg,82,
129,woopchunri-1.jpg,83,
130,TMR-1.jpg,84,
131,bakgumdang-1.jpg,85,
132,fence-1.jpg,86,
133,apartment-1.jpg,87,
134,kichin-1.jpg,88,
135,donot-1.jpg,89,
136,coffeehouse-1.jpg,90,
137,eum-1.jpg,91,
138,biseul-1.jpg,92,
139,little-1.jpg,93,
140,owl-1.jpg,94,
141,opongd-1.jpg,95,
142,hill-1.jpg,96,
143,carmel-1.jpg,97,
144,gable-1.jpg,98,
145,surely-1.jpg,99,
146,epanoui-1.jpg,100,
147,ryu-1.jpg,101,
148,coffeecal-1.jpg,102,
149,stay-1.jpg,103,
150,coffeesaram-1.jpg,104,
151,aplane-1.jpg,105,
152,brick62-1.jpg,106,
153,moga-1.jpg,107,
154,bbabba-1.jpg,108,
155,lumier-1.jpg,109,
156,nokum-1.jpg,110,
157,bell-1.jpg,111,
158,dorora-1.jpg,112,
159,waft-1.jpg,113,
160,koi-1.png,114,
161,mix-1.jpg,115,
162,jari-1.jpg,116,
163,moeun-1.jpg,117,
164,rawdongin-1.jpg,118,
165,mumyoung-1.jpg,119,
166,titf-1.jpg,120,
167,stone-1.jpg,121,
168,heima-1.jpg,122,
169,secret-1.jpg,123,
170,treefarm-1.jpg,124,
171,dohwazi-1.jpg,125,
172,hundred-1.jpg,126,
173,dumidi-1.jpg,127,
174,seven-1.jpg,128,
175,bake-1.jpg,129,
176,/2020/05/22/s_e0665151-ed71-4bb0-94e1-780f25b2cdbd_rc_sample01.PNG,,1,
177,/2020/05/22/s_0cc36c95-c462-4a51-b347-93dc07b88f87_rc_sample02.PNG,,1,
178,/2020/05/22/s_0f02ebf3-74f3-432e-8333-d860abc9a731_rc_sample03.PNG,,1,
179,/2020/05/22/s_cb5a2496-9389-4e51-b204-6dfd9aca2527_rc_sample16.jpg,,2,
180,/2020/05/22/s_1425dc31-cde6-49a0-85a6-3d27fa5087a3_rc_sample17.jpg,,2,
181,/2020/05/22/s_7b1ffeea-4f15-4e72-829c-1af15e2ebd30_rc_sample18.jpg,,2,
182,/2020/05/22/s_a9b8509f-1b66-4a1e-833d-fe922193929d_rc_sample19.jpg,,2,
183,/2020/05/22/s_73bec22c-11ad-449f-9545-19f61ff618aa_rc_sample23.jpg,,3,
184,/2020/05/22/s_96c6f69b-f405-47e1-8355-06347bac2b67_rc_sample06.PNG,,4,
185,/2020/05/22/s_241ef977-f941-4854-b764-21a069c57262_rc_sample22.jpg,,5,
186,/2020/05/22/s_ecc8abbd-e483-4aa2-a967-1bfe24c3a361_rc_sample24.jpg,,6,
187,/2020/05/22/s_3bf72fe1-ff2c-4e04-b37c-f1579aa618db_rc_sample25.jpg,,6,
188,/2020/05/22/s_ae047d6c-cfa3-4d1c-8699-6451025141f5_rc_sample52.jpg,,7,
189,/2020/05/22/s_d1b08df1-3ff2-4823-b0ab-5261bab75a83_rc_sample21.jpg,,8,
190,/2020/05/22/s_846257be-ee24-4442-a5b3-fd0d402e3b40_rc_sample37.jpg,,9,
191,/2020/05/22/s_fcfe849c-72c9-4d06-aeeb-b27c671372ff_rc_sample39.jpg,,9,
192,/2020/05/22/s_c862db9f-b77e-49d8-9b70-2c535fc04874_rc_sample50.jpg,,10,
193,/2020/05/22/s_d1423b08-6a7a-490b-9a68-aca6273a12ce_rc_sample27.jpg,,11,
194,/2020/05/22/s_4054aae2-ebe1-47a6-b706-e13e9c98d8c6_rc_sample54.jpg,,12,
195,/2020/05/22/s_ec69e70f-39a3-4a51-88a7-4cb366ee2934_rc_sample20.jpg,,13,
196,/2020/05/22/s_87abcc1f-6071-49db-9cda-7b87e5496d0b_rc_sample47.jpg,,14,
197,/2020/05/22/s_d85e0e1a-3ad1-478d-964f-c2e05706e76b_rc_sample32.jpg,,15,
198,/2020/05/22/s_260a481e-4dc0-430e-988e-209533ae571d_rc_sample33.jpg,,15,
199,/2020/05/22/s_cdc7303e-f81b-4163-8c5f-f6f3e941ba3a_rc_sample34.jpg,,15,
200,/2020/05/22/s_3b2b6b16-08a1-481a-a4fb-c0e759327cd9_rc_sample35.jpg,,15,
201,/2020/05/22/s_486c1279-a6f4-415b-baab-40b21f576da3_rc_sample28.jpg,,16,
202,/2020/05/22/s_bb5b709f-80af-43d7-b3fa-972247fc07fd_rc_sample29.jpg,,16,
203,/2020/05/22/s_e6c87939-7a84-440e-9a3c-107a97d2abcb_rc_sample56.jpg,,17,
204,/2020/05/22/s_3e9a7ddf-b9b4-4d9f-883a-d72ac0a73123_rc_sample59.jpg,,17,
205,/2020/05/22/s_8ee050d9-2871-46c7-a779-5c4306f2f703_rc_sample48.jpg,,18,
206,/2020/05/22/s_0f99e91f-9598-40c0-acaa-3c39cd0337be_rc_sample30.jpg,,19,
207,/2020/05/22/s_bb328920-fff4-4f96-8c9f-70ddf1afa0ce_rc_sample31.jpg,,19,
208,/2020/05/22/s_f250562d-3118-436d-893a-42bcb6c65e34_rc_sample40.jpg,,20,
209,/2020/05/22/s_403d22ce-3114-44f1-8aa7-a152d4cc27bd_rc_sample41.jpg,,20,
210,/2020/05/22/s_3d5f7e31-d4aa-44c2-b697-14db12337fb6_rc_sample49.jpg,,21,
211,/2020/05/22/s_68ed7f16-e3a8-431b-a795-9ca85343ef32_rc_sample57.jpg,,22,
212,/2020/05/22/s_380838af-1577-483a-b11d-13311f4bac8f_rc_sample03.PNG,,23,
213,/2020/05/22/s_d42abfbc-28b1-4317-9a6a-292366206dd2_rc_sample58.jpg,,24,
214,/2020/05/22/s_10ab3cb2-bec1-4509-ba6b-40649e356e6d_rc_sample26.jpg,,25,
215,/2020/05/22/s_0be14951-93a7-4cc6-af1d-9b16ebb77920_rc_sample43.jpg,,26,
216,/2020/05/22/s_8adeaa16-333f-42b4-a24f-b838ae14271a_rc_sample44.jpg,,26,
217,/2020/05/22/s_0fd4dce6-8f5b-4072-aad6-8d8b21d85033_rc_sample63.jpg,,27,
218,/2020/05/22/s_2cb3c956-0fad-419d-afab-f7edcbae35bc_rc_sample62.jpg,,28,
219,/2020/05/22/s_38ff4251-7056-4b42-92d3-1115ce74d412_rc_sample60.jpg,,29,
220,/2020/05/22/s_2b0fa75e-d874-4e1e-8bd7-d617e3562886_rc_sample61.jpg,,30,
221,/2020/05/22/s_f03d2799-9899-4fe9-a272-968c521ca92e_rc_sample29.jpg,,31,
222,/2020/05/22/s_8a7135e4-3b0b-47aa-bded-26adfaf7fa81_rc_sample31.jpg,,32,
223,/2020/05/22/s_a1942b24-2dc8-45f4-9e5d-56722c6a0f1a_rc_sample25.jpg,,33,
224,/2020/05/22/s_b55a05c0-5dda-49dc-9097-a7140081c701_rc_sample26.jpg,,33,
225,/2020/05/22/s_652a82e3-ad3b-4d45-9d0b-7e396c40dd3a_rc_sample014.PNG,,34,